Product Code,Product Name,Brand,Product Description,Product Features,Part Number,Barcode,Price,SRP,Commodity Code,Country of Origin,Item Weight Grams,Item Length(cm),Item Width(cm),Item Height(cm),Carton Barcode,Carton Weight Grams,Carton Length (cm),Carton Width(cm),Carton Height(cm),Carton Quantity
HCY-TOY07,Hey Clay Forest Set,HEY CLAY,Discover the joy of unlimited creativity with a colourful Hey Clay Forest Animals set!   Designed to boost kids’ imagination - this vibrant and soft modelling clay is great for sensory development and play-based learning. Developing fine motor skills as well as imagination and creativeness of your little one.   Clay air dries and hardens – so your child can keep their little treats and play them in future.,"  Includes 15 cans of air-dry clay and 2 modelling tools to make 6 characters
 FUN INTERACTIVE APP: You get FREE ACCESS to HEY CLAY® App that is a fascinating and inspiring guide to creative clay modelling for kids.
 SUPER BRIGHT COLOURS: A rainbow assortment of kids clay for unlimited creativity appeals to both boys and girls of 3 years old and up.
 CREATIVITY & EXPRESSION: Inspires curiosity to discover various shapes and colours, and imagination to create own unique craft designs.
 When the creations are finished and dried, kids can play with them and collect like toys and action figures.
 SAFE AND EASY-TO-USE: This air-dry clay is nontoxic. Does not stick to hands or stain other objects. The clay air-dries in 24 hours.
 ",E73573,5011666735736,9.89,16.99,,China,540,22.2,7.2,18.8,15011666735733,15000,72.5,32.5,43.5,4
TMY-TOY02,Tomy Bath Barista,Tomy,"Bring your favourite coffee chain to bath time with the Bath Barista from Toomies. Just like grown-ups, little ones can experience the fun of the café for themselves. There’ll be hours of chat and fun in the bath as they brew their very own make-believe cappuccinos.   The fun starts at the top: on the left is a spinner they can set in motion simply by pouring water with the smiley-faced jug provided. Place a cup under the filter and give the yellow handle a twist to serve up a classic cup of Joe! Up top on the right is the handy foamer. Lift the lid, add in some bubble bath and water, then start pumping the yellow plunger to create oodles of frothy bubbles! It’s as easy as 1, 2, 3! Turn the yellow dial and see the creamy foam plop, plop, plop into the cup below. It’s a foam-accino! Add a finishing touch with the shaker: the colourful hundreds and thousands won’t escape, but water sprinkles will!   Included are 3 cups and a jug and there’s a handy storage space on the left where they can all stack. The entire set fits easily to wall tiles, bath sides and any smooth surface thanks to suction pads at the back.","  Just add soap and water: Create make-believe cappuccinos for instant coffee-making fun!
 Café role play: Brimming with dials, levers, shakers and spinners, fill the jug and cups to keep those orders coming!
 Froth it up: Pump action frother allows you to top your brew at the twist of a button; sprinkler adds a finishing touch.
 Perfect for little hands: This tub-side toy builds confidence around water, boosting fine motor skills as children explore cause and effect.
 Chat over a cuppa: Ideal for storytelling fun at bath time, capture your children’s imagination as they learn to share and communicate.
 Suitable from 18 months+
 ",E73547,5011666735477,14.49,22.99,,Vietnam,770,35.24,13.02,27.94,15011666735474,2095,36.83,27.94,30.8,2
TMY-TOY03,Tomy Bubble & Bake Bathtime Kitchen,Tomy,"With the Bubble & Bake Bathtime Kitchen from Toomies kids can step into the tub and into the kitchen all at once!   They can make believe they’re cooking up a mouth-watering feast with a versatile oven/hob cooker combination and a kitchen sink with working tap! Add a few drops of bubble bath and send thousands of bubbles ‘boiling’ over the top!   There’s a ladle for scooping and stirring, plus a pie dish that slides in past the oven door.","  Bubble ‘n’ squeak: Bring all the fun of the kitchen into the bath tub with this clever 2-in-1 play set that lets little ones pretend they’re cooking up a feast.
 Sink or simmer: Includes a sink unit with working pump-action tap, plus an oven-and-hob combination. Mount each individually or lock together to encourage sharing and cooperative play.
 Just add water: Pop the pot on the hob and pump the yellow button to see bubbles appear. Add bubble bath to send foam spilling over the top!
 Pour and spin: Place the pie dish in the oven, twist the pot up top to send the water pouring down into the oven, and watch as it sets the pie dish spinning!
 Winning combination: Imaginative role play builds confidence in water, fosters interaction and promotes communication skills. Kids can explore cause and effect and develop
 Suitable from 18 months+
 ",E73264C,5011666732643,13.39,22.99,,Vietnam,990,34.92,18.1,27.94,15011666732640,2893,38.1,36.83,31.11,2
TMY-TOY05,Tomy Splash & Rescue Helicopter,Tomy,"Landing in a tub near you is the Splash & Rescue Helicopter from Toomies.   This colourful floating bath helicopter is packed with fantastic water play features. Rescue the dolphin from danger and take him for a ride in the bucket. Place him inside and winch it up by turning the blue rotor. Turn dolphin on his head and discover another pouring action!   Every bath time becomes an epic rescue adventure as children fire their imaginations and gain confidence around water, developing their motor skills and exploring a host of connections that have cause and effect.","  To the rescue: Bring the fun and excitement of ocean rescue to bath time with this all-action, water splashing, helicopter bath toy
 In a spin: Fill with water and set the helicopter rotors spinning by pulling the rescue bucket
 Spray away: Fill the rotor with water and see it spray a full 360 as it whizzes round and round
 Let it pour: Rescue the dolphin in the bucket – both are designed to fill and pour streams and showers of water
 Puppy Pilot: Cute and squidgy, the pilot squirts water and attaches to tubs and tiled walls
 Suitable from 12 months+
 ",E73305,5011666733053,8.09,13.99,,Indonesia,380,23.49,15.87,16.19,15011666733050,879,33.02,23.81,17.14,2
VTC-GYM01,VTech 6-in-1 Playtime Tunnel,VTech,"Meet Zebra and their fun multi-coloured 6-in-1 Playtime Tunnel by VTech®!   Detach the electronic piano panel for on-the-go play. Press the light up piano keys for fun responses. Little one can spin the beads on the piano handle and flip the Sloth around the arch tree to develop their motor skills. The soft fabric arch and leaves promote tactile stimulation and sensory discovery. Little one can explore and crawl through the see-through rainbow mesh tunnel.   Features dangling self-discovery mirror and 5 animals: fabric tiger, crinkle fabric toucan, elephant rattle, easy-grasp handle koala with beads and roller ball hippo. Product length: 94cm.","  Detachable piano panel for on-the-go play
 Light up piano keys trigger fun responses
 Includes soft fabric arch, and leaves for tactile stimulation and sensory discovery
 Features dangling self-discovery mirror and 5 animals
 Product length: 94cm 
 Suitable from 3 to 36 months
 ",562703,3417765627033,49.59,79.99,9503009990,China,1850,77,47,47,33417765627034,6000,63.3,29.1,43.3,2
VTC-GYM04,VTech 4-in-1 Tummy Time Fawn,VTech,"Introducing the 4-in-1 Tummy Time Fawn by VTech®! This soft, cuddly tummy time pillow includes 4 ways to play.   As your little one grows the fawn will provide and support tummy time, sitting, take along and on the go play. Soft textures support and encourage tactile awareness.   As your little one grows and develops the detachable hippo rattle, self-discovery fox mirror and electronic piano keep little ones engaged. Light up piano keys on the removable piano introduce animals and play piano notes, sounds, sing-along songs and melodies.   Fawn has multiple textures, patterns and colours for visual and tactile stimulation.   Includes 15 exciting melodies and 4 fun sing-along songs.","  Soft, cuddly tummy time pillow with 4 ways to play
 Supports and encourages tummy time play
 Includes detachable hippo rattle, self-discovery fox mirror and electronic piano
 Light up piano keys on the piano introduce animals and play piano notes, sounds, sing-along songs and melodies
 Fawn features lots of textures, patterns and colours for visual and tactile stimulation
 Includes 15 melodies and 4 sing-along songs
 Suitable from 3 to 36 months
 ",560503,3417765605031,21.69,34.99,9503009990,China,538,47,11.2,41.5,33417765605032,4710,41.5,48.3,32.4,4
VTC-TOY130,VTech Toot-Toot Drivers® Ambulance,VTech,"Hi, I'm a reliable Ambulance, heading off to the rescue. Zoom into the learning zone with the Toot-Toot Drivers® Ambulance by VTech®.   This cute and chunky ambulance is perfectly sized for little hands and will entertain with the light up face button that triggers fun music, realistic sound effects and songs. Push the ambulance or press the feature button for more fun reactions and movements.   Includes 3 sing-along songs and 6 lively melodies. Encourages motor skills, role-play fun, language development and imaginative play. Introduces singing, pretend play and sounds.   The ambulance responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers® play sets (each sold separately).","  Chunky ambulance will entertain your child with the light up face button that triggers fun music, realistic sound effects and songs
 Push the ambulance or press the feature button for more fun reactions and movements
 Includes 3 sing-along songs and 6 lively melodies
 Encourages motor skills, role-play fun, language development and imaginative play
 Introduces singing, pretend play and sounds
 Responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers® play sets (each sold separately)
 Suitable from 1 to 5 years
   ",565403,3417765654039,5.59,8.99,9503009590,China,120,10.6,5.8,6,33417765654030,3200,25.5,24.5,28.6,12
VTC-TOY131,VTech Toot-Toot Drivers® Tow Truck,VTech,"Hi! I'm a terrific tow truck! I'll tow you to the garage! Drive into the learning zone with the Toot-Toot Drivers® Tow Truck by VTech®.   This chunky tow truck is perfectly sized for little hands and will entertain your child with the light up face button that triggers fun music, sounds and songs. Push the tow truck or press the feature button for more fun reactions.   Includes 3 sing-along songs and 6 lively melodies. Encourages motor skills, role-play fun and imaginative play. Introduces singing, pretend play and sounds.   Tow truck responds to SmartPoint™ locations with different phrases, sounds and more on Toot-Toot Drivers® play sets (each sold separately).","  Cute, chunky tow truck your child will love!
 Press the light up face button to triggers fun music, sounds and songs.
 Push the tow truck or press the feature button for even more fun reactions.
 Includes 3 sing-along songs and 6 lively melodies.
 Encourages motor skills development & role-play.
 Responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers® play sets (each sold separately).
 Suitable from 1 to 5 years
 ",557803,3417765578038,5.59,8.99,9503009590,China,120,9.8,5.5,5.9,33417765578039,2000,25.5,24.5,28.6,12
VTC-TOY132,VTech Toot-Toot Drivers® Sports Car,VTech,"Drive into the learning zone with the Toot-Toot Drivers® Sports Car by VTech®.   This cute and chunky sports car is perfectly sized for little hands and will entertain your child with the light up face button that triggers fun music, realistic sound effects and songs. Push the sports car or press the feature button for more fun reactions and movements.   Includes 3 sing-along songs and 6 lively melodies. Encourages motor skills, role-play fun, language development and imaginative play. Introduces singing, pretend play and sounds.   Sports car responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers® play sets (each sold separately).","  Cute, chunky sports car will delight little ones!
 Light up face button triggers fun music, realistic sound effects and songs.
 Push the sports car or press the feature button for more fun reactions and movements.
 Encourages motor skills, role-play fun and imaginative play.
 Includes 3 sing-along songs and 6 lively melodies.
 Introduces singing, pretend play and sounds.
 Responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers® play sets (each sold separately).
 Suitable from 1 to 5 years
 ",565303,3417765653032,5.59,8.99,9503009590,China,120,10.6,5.8,6,33417765653033,2850,25.5,24.5,28.6,12
VTC-TOY133,VTech Toot-Toot Drivers® Dumper Truck,VTech,"I'm an energetic dumper truck. Hard, tough work is easy for me. Drive into the learning zone with the Toot-Toot Drivers dumper truck by VTech.   This fun and fabulous dumper truck is perfectly sized for little hands and will entertain your child with the light up face button that triggers fun music, realistic sound effects and songs. Push the dumper truck or press the feature button for more fun reactions and movements.   Includes 3 sing-along songs and 6 lively melodies. Encourages motor skills, role-play fun, language development and imaginative play. Teaches singing, pretend play and sounds.   The dumper truck responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers play sets (each sold separately).","  Chunky dumper truck will delight your little one with the light up face button that triggers fun music, sounds and songs
 Encourages motor skills, role-play fun, language development and imaginative play
 Dumper Truck responds to SmartPoint™ locations with different phrases, sound effects and more on Toot-Toot Drivers® play sets (each sold separately)
 Includes 3 sing-along songs and 6 lively melodies
 Suitable from 1 to 5 years
 ",565503,3417765655036,5.59,8.99,9503009590,China,120,10.6,5.8,6,33417765655037,2000,25.5,24.5,28.6,12
